datetime,house_type,price,acreage,address,district,city,bedrooms,wc,price 2,price 3,wc 2,bedrooms 2,floors,floors 2,property age,latitude,longitude,hospital,supermarket,school,park,amenities_rating
2023-06-06 16:34:37,Nhà riêng,2.47,62.0,"Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,2.0,3.0,2.465,2.465,,2.0,2.0,,5,11.0600684,106.795688,False,False,True,False,1
2023-06-06 16:30:02,Nhà riêng,13.8,77.0,"Bồ Đề, Long Biên, Hà Nội",Long Biên,Hà Nội,4.0,2.0,,,2.0,4.0,6.0,,5,21.038845,105.8754157,True,True,True,True,5
2023-06-06 16:21:25,Nhà,2950000.0,92.0,"Huế, Thừa Thiên Huế",Huế,Thừa Thiên Huế,3.0,3.0,2.0,2.0,,,,,5,16.4639321,107.5863388,True,True,True,True,5
2023-06-06 16:14:20,Nhà riêng,2.2,32.0,"ÂU CƠ, P10, Tân Bình, TP Hồ Chí Minh",Tân Bình,TP Hồ Chí Minh,2.0,3.0,2.2,,3.0,2.0,3.0,3.0,5,10.7693382,106.6517089,False,False,True,False,1
2023-06-06 16:07:48,Nhà riêng,4.98,36.0,ngõ 197 đường Hoàng Mai quận Hoàng Mai Hà Nội,Hoàng Mai,Hà Nội,3.0,4.0,4.98,4.98,,1.0,5.0,,5,20.9860581,105.8615708,False,True,True,True,3
2023-06-06 15:43:37,Nhà riêng,3.9,42.0,ngõ 216 đường Đê La Thành quận Đống Đa Hà Nội,Đống Đa,Hà Nội,4.0,3.0,3.9,3.9,1.0,2.0,4.0,,5,21.015036,105.8300542,False,True,False,True,2
2023-06-06 15:42:10,Nhà riêng,9.5,,"Đường Số 5, Phường Trường Thọ, Quận Thủ Đức, TP HCM, TP Hồ Chí Minh",Thủ Đức,TP Hồ Chí Minh,18.0,18.0,9.5,9.5,,,4.0,4.0,5,10.8298295,106.7617899,False,False,True,False,1
2023-06-06 14:04:15,Nhà mặt phố,42.0,288.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,42.0,42.0,,,6.0,6.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 14:04:15,Nhà mặt phố,42.0,288.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,42.0,42.0,,,6.0,6.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 14:10:03,Nhà mặt phố,26.0,196.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,26.0,26.0,,,6.0,6.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 14:21:39,Nhà mặt phố,26.0,252.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,26.0,26.0,,,5.0,5.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 14:29:13,Nhà riêng,5.05,74.0,"Nguyễn Tường Loan, Lê Chân, Hải Phòng",Lê Chân,Hải Phòng,4.0,3.0,5.05,5.05,,2.0,4.0,4.0,5,20.842475,106.6740421,True,False,True,True,4
2023-06-06 14:29:38,Nhà riêng,0.015,45.0,"Hà Nội, Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Hà Nội,7.0,,0.015,0.015,,2.0,5.0,5.0,5,21.012198,105.8552245,True,True,True,True,5
2023-06-06 14:31:37,Nhà riêng,950.0,96.0,"tân bình, Vĩnh Cửu, Đồng Nai",Vĩnh Cửu,Đồng Nai,3.0,2.0,0.95,0.95,2.0,3.0,,,5,11.0000725,106.8061349,True,False,True,False,3
2023-06-06 15:11:21,Nhà riêng,2.2,17.0,"ÂU CƠ, QUẬN 11, TP Hồ Chí Minh",Quận 11,TP Hồ Chí Minh,,,2.2,2.2,,,2.0,2.0,5,10.7693382,106.6517089,False,False,True,False,1
2023-06-06 11:50:05,Nhà mặt phố,26.5,200.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,26.5,26.5,,,4.0,5.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 11:47:14,Nhà riêng,18.0,80.0,"Khu đô thị APAK, Q2, TP.HCM, Quận 2, TP Hồ Chí Minh",Quận 2,TP Hồ Chí Minh,6.0,6.0,18.0,,6.0,6.0,4.0,4.0,5,10.76849385,106.68429499199416,True,True,True,True,5
2023-06-06 11:42:12,Nhà mặt phố,35.0,384.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,35.0,35.0,,,5.0,5.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 11:33:43,Nhà riêng,3.8,100.0,"Biên Hòa, Đồng Nai",Biên Hòa,Đồng Nai,3.0,2.0,3.8,,,3.0,3.0,3.0,5,10.9509538,106.8226134,True,False,True,True,4
2023-06-06 11:25:02,Nhà mặt phố,5.5,110.0,"388 Đường Lê Duẩn, tt Tân Sơn, Ninh Sơn, Ninh Thuận",Ninh Sơn,Ninh Thuận,2.0,1.0,5.5,5.5,,,,,5,11.71074725,108.80093167410767,False,False,False,False,0
2023-06-06 11:24:14,Nhà riêng,5.6,56.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,4.0,4.0,5.6,5.6,4.0,4.0,3.0,4.0,5,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-06 11:15:07,Nhà riêng,6.6,60.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,6.6,6.6,,,3.0,4.0,5,10.8030656,106.65227606400094,False,False,True,False,1
